schema_version,trial,cta,start_gpu_ns,end_gpu_ns
2,0,169,1789633732829453312,1789633732882001920
2,0,170,1789633732829453312,1789633732882002944
2,0,171,1789633732829453312,1789633732881999872
2,0,172,1789633732829453312,1789633732881998848
2,0,173,1789633732829453312,1789633732882000896
2,0,174,1789633732829453312,1789633732881998848
2,0,175,1789633732829453312,1789633732881999872
2,0,176,1789633732829453312,1789633732881999872
2,0,177,1789633732829453312,1789633732881997824
2,0,178,1789633732829453312,1789633732882000896
2,0,179,1789633732829453312,1789633732881999872
2,0,180,1789633732829453312,1789633732881999872
2,0,181,1789633732829453312,1789633732881997824
2,0,182,1789633732829453312,1789633732881998848
2,0,183,1789633732829453312,1789633732881998848
2,0,184,1789633732829453312,1789633732882000896
2,0,185,1789633732829453312,1789633732881999872
2,0,186,1789633732829453312,1789633732881998848
2,0,187,1789633732829453312,1789633732882001920
2,0,188,1789633732829453312,1789633732881999872
2,0,189,1789633732829453312,1789633732882000896
2,0,190,1789633732829453312,1789633732881997824
2,0,191,1789633732829453312,1789633732882002944
2,0,192,1789633732829453312,1789633732881997824
2,0,193,1789633732829453312,1789633732882001920
2,0,194,1789633732829453312,1789633732881998848
2,0,195,1789633732829453312,1789633732881999872
2,0,196,1789633732829453312,1789633732881998848
2,0,197,1789633732829453312,1789633732881998848
2,0,198,1789633732829453312,1789633732881998848
2,0,199,1789633732829453312,1789633732882000896
2,0,200,1789633732829453312,1789633732881998848
2,0,201,1789633732829453312,1789633732882000896
2,0,202,1789633732829453312,1789633732881999872
2,0,203,1789633732829453312,1789633732881999872
2,0,204,1789633732829453312,1789633732881998848
2,0,205,1789633732829453312,1789633732881997824
2,0,206,1789633732829453312,1789633732881999872
2,0,207,1789633732829453312,1789633732881996800
2,0,208,1789633732829453312,1789633732881999872
2,0,209,1789633732829453312,1789633732881999872
2,0,210,1789633732829453312,1789633732881998848
2,0,211,1789633732829453312,1789633732881997824
2,0,212,1789633732829453312,1789633732881998848
2,0,213,1789633732829453312,1789633732881999872
2,0,214,1789633732829453312,1789633732881997824
2,0,215,1789633732829453312,1789633732881998848
