schema_version,trial,cta,start_gpu_ns,end_gpu_ns
2,0,159,1789637376082048096,1789637376134599104
2,0,160,1789637376082047744,1789637376134596928
2,0,161,1789637376082047776,1789637376134597376
2,0,162,1789637376082047744,1789637376134599712
2,0,163,1789637376082047712,1789637376134599680
2,0,164,1789637376082048064,1789637376134602816
2,0,165,1789637376082047712,1789637376134599136
2,0,166,1789637376082047744,1789637376134602528
2,0,167,1789637376082048032,1789637376134604160
2,0,168,1789637376082048032,1789637376134600448
2,0,169,1789637376082047776,1789637376134597504
2,0,170,1789637376082047744,1789637376134603168
2,0,171,1789637376082048096,1789637376134600512
2,0,172,1789637376082047744,1789637376134599968
2,0,173,1789637376082047776,1789637376134599552
2,0,174,1789637376082048064,1789637376134597440
2,0,175,1789637376082048064,1789637376134598624
2,0,176,1789637376082047872,1789637376134600448
2,0,177,1789637376082047808,1789637376134600288
2,0,178,1789637376082048160,1789637376134603616
2,0,179,1789637376082047808,1789637376134600736
2,0,180,1789637376082047840,1789637376134599552
2,0,181,1789637376082048160,1789637376134599552
2,0,182,1789637376082048160,1789637376134601760
2,0,183,1789637376082047776,1789637376134600032
2,0,184,1789637376082047744,1789637376134598912
2,0,185,1789637376082048096,1789637376134599616
2,0,186,1789637376082047744,1789637376134600896
2,0,187,1789637376082047776,1789637376134598400
2,0,188,1789637376082048064,1789637376134597280
2,0,189,1789637376082048032,1789637376134599744
2,0,190,1789637376082047840,1789637376134598592
2,0,191,1789637376082047808,1789637376134599648
2,0,192,1789637376082048128,1789637376134595968
2,0,193,1789637376082047808,1789637376134597984
2,0,194,1789637376082047808,1789637376134601920
2,0,195,1789637376082048064,1789637376134599296
2,0,196,1789637376082048032,1789637376134596384
2,0,197,1789637376082047872,1789637376134599936
2,0,198,1789637376082047808,1789637376134597344
2,0,199,1789637376082048160,1789637376134600352
2,0,200,1789637376082047808,1789637376134600960
2,0,201,1789637376082047840,1789637376134597856
2,0,202,1789637376082048128,1789637376134603104
2,0,203,1789637376082048128,1789637376134599168
2,0,204,1789637376082047776,1789637376134599584
2,0,205,1789637376082047744,1789637376134602304
2,0,206,1789637376082048096,1789637376134601856
2,0,207,1789637376082047744,1789637376134596768
2,0,208,1789637376082047776,1789637376134597664
2,0,209,1789637376082048096,1789637376134600288
2,0,210,1789637376082048096,1789637376134598144
2,0,211,1789637376082047808,1789637376134596832
2,0,212,1789637376082047776,1789637376134600896
2,0,213,1789637376082048064,1789637376134603808
2,0,214,1789637376082047744,1789637376134599680
2,0,215,1789637376082047744,1789637376134597792
